Santana da Vargem;75.98
São João Nepomuceno;75.98
Três Pontas;75.98
Bicas;75.99
Carmópolis de Minas;75.99
São Gonçalo do Sapucaí;75.99
Carmo do Rio Claro;76.01
Comendador Gomes;76.01
Ribeirão Vermelho;76.01
Cachoeira Dourada;76.02
Itaúna;76.02
Nanuque;76.02
Medeiros;76.04
Curvelo;76.05
Planura;76.1
Paraisópolis;76.11
Serra do Salitre;76.11
Prata;76.12
Tiros;76.13
Patrocínio;76.14
Carmo do Cajuru;76.16
Cruzília;76.17
Itamonte;76.17
Seritinga;76.17
Muriaé;76.18
Centralina;76.19
Paracatu;76.22
Jequitibá;76.26
Araújos;76.27
São Gotardo;76.27
Boa Esperança;76.28
Ibiraci;76.28
Rio Paranaíba;76.28
Três Corações;76.28
Pedrinópolis;76.29
Patos de Minas;76.31
Pedro Leopoldo;76.33
Cambuquira;76.34
Jaguaraçu;76.35
Belo Horizonte;76.37
Madre de Deus de Minas;76.38
Brumadinho;76.39
Biquinhas;76.4
São José da Varginha;76.41
Laranjal;76.42
Além Paraíba;76.43
Lagoa Santa;76.43
Ingaí;76.45
Barão de Cocais;76.46
Campo Florido;76.46
Pirajuba;76.46
Araxá;76.49
Astolfo Dutra;76.5
Muzambinho;76.51
Santa Luzia;76.52
Matutina;76.53
Cristais;76.54
Coromandel;76.57
São João del Rei;76.57
Água Comprida;76.58
Passa Quatro;76.59
Juruaia;76.61
Campos Altos;76.62
Conselheiro Lafaiete;76.62
Carmo do Paranaíba;76.63
Itapagipe;76.64
Bom Despacho;76.66
Ouro Fino;76.66
Cataguases;76.68
Lima Duarte;76.68
Alpinópolis;76.71
Conceição das Alagoas;76.72
Matias Barbosa;76.73
Bom Jesus da Penha;76.74
Itaú de Minas;76.74
Pratápolis;76.74
Fama;76.77
Rio Pomba;76.77
Serra da Saudade;76.78
Tupaciguara;76.78
Betim;76.82
Jacutinga;76.82
Matozinhos;76.82
Nova Serrana;76.82
Barroso;76.84
Ipatinga;76.85
Silvianópolis;76.87
Coronel Fabriciano;76.88
Gurinhatã;76.88
Santa Vitória;76.88
Prados;76.89
Borda da Mata;76.92
Frutal;76.92
Três Marias;76.93
Poço Fundo;76.95
Santa Rosa da Serra;76.95
Vazante;76.96
Ipuiúna;76.98
São Francisco de Sales;77.01
Estrela Dalva;77.04
Leopoldina;77.04
Chiador;77.05
Pequeri;77.05
Campina Verde;77.06
Santa Juliana;77.06
Botelhos;77.07
Montes Claros;77.07
Campo Belo;77.1
Monte Carmelo;77.1
Doresópolis;77.11
Veríssimo;77.16
Bambuí;77.2
Pitangui;77.22
Rio Acima;77.22
Aiuruoca;77.23
Itanhandu;77.23
Lambari;77.23
Tombos;77.23
Pratinha;77.24
Sacramento;77.25
Arapuá;77.27
Araguari;77.28
Fronteira;77.28
São Lourenço;77.28
Sarzedo;77.28
Delfinópolis;77.31
Ouro Branco;77.31
Poços de Caldas;77.31
Canápolis;77.32
Cambuí;77.33
Pouso Alegre;77.33
Caldas;77.35
Carneirinho;77.37
Itabira;77.37
Arcos;77.43
Formiga;77.43
Mariana;77.43
Pains;77.43
Monte Santo de Minas;77.46
São Tomás de Aquino;77.46
Estrela do Indaiá;77.49
Leandro Ferreira;77.49
Varginha;77.49
São José da Barra;77.56
Carrancas;77.59
Congonhas;77.59
Conquista;77.59
Ibiá;77.62
Chácara;77.66
Santana do Paraíso;77.66
Itutinga;77.67
Andradas;77.69
Itapeva;77.69
Monte Sião;77.69
Perdões;77.69
Piumhi;77.7
Lavras;77.8
Perdizes;77.8
Guaxupé;77.81
Barbacena;77.88
Viçosa;77.96
Itajubá;78.06
Uberlândia;78.09
Nova Lima;78.1
Tiradentes;78.1
Passos;78.15
